No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
232,강성우,1997,롯,DH,79,191,171,10,34,4,0,0,38,13,2,2,9,2,0,37,4,7,2,.199,.245,.222,.467,.215,26.6,-1.38,,"4,790"
1,김기태,1998,쌍,1B,126,541,434,84,134,28,4,31,263,90,10,5,104,0,15,79,11,0,3,.309,.440,.606,1.046,.445,186.5,7.28,,"10,100"
2,이승엽,1998,삼,1B,126,568,477,100,146,32,2,38,296,102,0,2,78,5,10,97,4,1,7,.306,.404,.621,1.024,.434,175.9,6.73,,"8,500"
5,양준혁,1998,삼,DH,126,552,456,80,156,30,1,27,269,89,15,14,87,5,26,69,14,0,3,.342,.450,.590,1.040,.442,181.7,6.20,,"14,000"
6,유지현,1998,L,SS,126,564,476,94,132,36,1,12,206,61,40,7,71,6,4,78,3,9,2,.277,.377,.433,.809,.358,126.3,6.08,,"7,000"
7,김동수,1998,L,C,118,471,408,67,116,28,2,20,208,66,2,3,44,9,2,71,8,4,6,.284,.362,.510,.872,.378,140.5,5.50,,"10,000"
8,박재홍,1998,현,RF,119,507,428,86,114,25,2,30,233,84,43,19,66,9,7,83,13,0,4,.266,.373,.544,.917,.395,151.3,5.24,,"7,000"
9,박정태,1998,롯,2B,113,473,406,56,129,24,2,13,196,79,1,3,52,4,3,47,5,3,8,.318,.394,.483,.876,.386,143.9,4.88,,"6,300"
10,조원우,1998,쌍,CF,126,536,479,80,149,20,4,12,213,62,23,6,35,7,3,46,15,12,3,.311,.365,.445,.809,.354,122.6,4.74,,"6,200"
12,김대익,1998,롯,CF,124,527,466,79,136,29,7,5,194,40,27,9,48,4,2,65,6,9,0,.292,.363,.416,.779,.347,116.9,4.41,,"4,200"
13,홍현우,1998,해,3B,126,533,442,80,119,24,1,15,190,62,13,9,79,3,8,74,9,5,4,.269,.381,.430,.811,.359,125.3,4.41,,"10,200"
14,전준호,1998,현,LF,126,518,446,78,143,16,7,5,188,43,35,17,49,10,0,58,2,10,3,.321,.398,.422,.819,.367,131.6,4.27,,"6,650"
15,김재현,1998,L,LF,122,541,482,70,142,31,3,16,227,76,8,6,47,7,2,80,6,2,3,.295,.364,.471,.835,.370,134.4,4.23,,"6,000"
16,정수근,1998,O,CF,125,549,480,88,138,19,11,1,182,36,44,13,51,6,3,44,7,9,2,.288,.362,.379,.741,.332,107.3,4.20,,"4,600"
17,심정수,1998,O,RF,126,518,477,71,140,29,4,19,234,73,4,1,34,5,3,82,5,0,2,.294,.346,.491,.836,.368,133.2,4.14,,"5,100"
18,김경기,1998,현,3B,126,493,431,62,118,25,0,18,197,59,5,6,43,12,3,79,11,4,3,.274,.354,.457,.811,.358,124.9,3.88,,"8,500"
19,박경완,1998,현,C,123,458,404,54,101,25,1,19,185,66,3,3,39,6,0,103,10,7,2,.250,.324,.458,.782,.341,113.4,3.84,,"8,000"
20,장성호,1998,해,1B,125,529,465,76,145,23,1,15,215,49,5,0,44,9,6,53,12,9,2,.312,.381,.462,.843,.369,132.6,3.71,,"3,500"
21,이호준,1998,해,LF,121,465,422,64,128,27,1,19,214,77,5,2,27,6,1,71,13,2,8,.303,.348,.507,.855,.372,134.7,3.66,,"2,800"
22,마해영,1998,롯,1B,126,534,465,77,136,33,1,15,216,64,2,3,51,12,3,97,7,3,3,.292,.375,.465,.839,.372,134.7,3.63,,"7,000"
23,이명수,1998,현,2B,106,371,327,48,103,13,3,11,155,46,5,6,35,1,0,62,6,4,4,.315,.379,.474,.853,.376,138.1,3.59,,"6,600"
24,이병규,1998,L,CF,124,544,499,75,139,31,5,9,207,67,11,6,36,3,1,47,13,3,3,.279,.329,.415,.744,.332,106.9,3.48,,"3,800"
25,김한수,1998,삼,3B,126,503,463,65,139,24,1,15,210,80,5,3,19,6,1,70,19,9,6,.300,.332,.454,.786,.342,113.6,3.44,,"5,000"
27,심성보,1998,쌍,RF,126,521,469,61,126,24,5,24,232,86,9,5,38,4,3,110,12,2,8,.269,.324,.495,.818,.353,122.1,3.37,,"5,700"
28,송지만,1998,한,RF,126,508,432,66,116,20,0,16,184,49,25,8,45,19,1,99,6,10,2,.269,.361,.426,.787,.350,118.8,3.28,,"4,500"
29,최익성,1998,삼,RF,110,446,374,74,98,15,0,13,152,42,20,5,43,23,3,62,2,5,1,.262,.372,.406,.778,.351,119.7,3.05,,"5,000"
30,김창희,1998,해,CF,124,500,439,49,117,23,1,12,178,64,5,2,46,7,6,71,13,5,3,.267,.343,.405,.749,.332,106.6,3.03,,"3,000"
32,백재호,1998,한,SS,124,452,393,41,101,23,1,13,165,45,3,7,39,8,1,65,7,10,2,.257,.335,.420,.755,.332,106.5,2.85,,"3,000"
33,최태원,1998,쌍,2B,126,537,469,65,135,22,3,4,175,39,9,5,42,4,0,42,9,20,2,.288,.350,.373,.723,.320,98.4,2.83,,"8,200"
34,강석천,1998,한,3B,125,510,471,58,130,23,5,6,181,42,20,7,16,12,2,51,12,10,1,.276,.316,.384,.700,.310,91.5,2.50,,"7,000"
35,심재학,1998,L,RF,124,490,412,47,110,22,1,11,167,70,0,1,59,7,5,65,6,1,11,.267,.360,.405,.765,.342,114.2,2.49,,"5,600"
36,임수혁,1998,롯,C,110,378,336,35,83,13,3,9,129,55,0,1,39,1,4,50,17,2,0,.247,.327,.384,.711,.318,97.1,2.39,,"5,500"
37,김충민,1998,한,C,123,358,314,36,78,13,0,11,124,40,6,6,31,5,0,61,8,7,1,.248,.325,.395,.720,.320,98.6,2.27,,"2,400"
38,장종훈,1998,한,1B,118,489,437,60,120,17,1,17,190,66,3,5,41,7,5,69,13,0,4,.275,.344,.435,.778,.346,116.0,2.10,,"10,000"
39,이숭용,1998,현,1B,107,412,363,39,101,26,1,10,159,45,6,9,31,12,0,72,5,2,4,.278,.351,.438,.789,.353,121.5,1.95,,"7,600"
40,신국환,1998,L,3B,103,330,291,44,82,15,0,8,121,51,3,3,17,10,2,38,8,11,1,.282,.342,.416,.758,.329,105.3,1.87,,"4,000"
41,신동주,1998,삼,DH,78,278,238,38,69,9,0,13,117,35,11,4,20,13,1,48,9,6,1,.290,.375,.492,.867,.377,137.5,1.86,,"5,500"
42,이영우,1998,한,LF,97,342,297,34,81,19,1,9,129,31,6,9,38,0,3,50,9,6,1,.273,.354,.434,.789,.346,116.0,1.62,,"3,300"
43,김선진,1998,L,1B,115,408,369,47,104,20,3,8,154,46,13,5,26,3,1,59,19,8,2,.282,.333,.417,.750,.330,105.5,1.53,,"4,100"
45,김종훈,1998,삼,LF,101,314,274,49,76,11,3,4,105,26,10,1,23,5,0,48,5,9,3,.277,.341,.383,.724,.320,98.9,1.43,,"3,700"
48,안경현,1998,O,3B,116,408,362,32,90,23,0,6,131,38,4,1,29,5,1,45,6,8,4,.249,.310,.362,.672,.299,83.1,1.35,,"5,200"
49,공필성,1998,롯,3B,120,428,364,42,89,12,2,6,123,42,12,9,38,9,2,75,9,12,5,.245,.327,.338,.665,.297,82.8,1.30,,"6,700"
51,진갑용,1998,O,C,88,271,253,12,68,14,1,2,90,22,1,1,14,0,0,44,10,3,1,.269,.306,.356,.662,.298,82.4,1.22,,"3,200"
52,김민재,1998,롯,SS,120,367,323,36,77,16,2,5,112,43,13,10,24,9,2,51,7,7,4,.238,.306,.347,.652,.291,78.2,1.20,,"5,300"
53,이호성,1998,해,RF,83,286,250,28,69,16,1,4,99,30,5,3,27,1,0,45,10,7,1,.276,.348,.396,.744,.330,105.7,1.19,,"8,500"
54,송구홍,1998,해,2B,80,298,264,33,76,11,1,2,95,9,7,4,13,6,0,33,12,15,0,.288,.336,.360,.696,.304,87.7,1.12,,"5,500"
55,최훈재,1998,해,1B,111,424,371,41,98,13,1,9,140,49,1,0,36,6,2,52,9,4,7,.264,.333,.377,.711,.318,97.4,1.02,,"5,500"
58,임주택,1998,한,CF,66,119,105,15,30,9,0,5,54,17,0,0,8,1,2,22,6,4,1,.286,.339,.514,.853,.355,122.6,0.91,,"2,700"
59,정경배,1998,삼,2B,123,405,357,36,84,17,1,11,136,55,9,5,19,9,2,62,17,15,5,.235,.287,.381,.668,.286,75.6,0.91,,"4,000"
60,김응국,1998,롯,LF,94,342,305,32,81,11,2,4,108,36,2,7,33,2,2,46,2,1,1,.266,.340,.354,.694,.318,96.8,0.89,,"9,000"
61,김성래,1998,쌍,3B,93,281,238,21,55,14,3,5,90,26,0,0,28,2,5,54,6,9,3,.231,.314,.378,.692,.294,80.5,0.83,,"6,000"
62,유필선,1998,롯,,83,230,188,25,46,8,1,5,71,20,3,4,21,7,0,47,4,11,3,.245,.338,.378,.716,.311,92.5,0.82,,"2,200"
63,김호,1998,쌍,SS,114,360,306,42,69,9,3,3,93,28,11,7,35,1,1,71,4,15,3,.225,.304,.304,.608,.270,63.6,0.70,,"5,600"
64,김태균,1998,삼,SS,109,351,303,29,61,6,1,8,93,33,3,2,36,4,2,73,8,5,3,.201,.292,.307,.599,.272,66.1,0.67,,"4,800"
66,이민호,1998,한,3B,111,319,288,34,68,14,0,7,103,29,3,2,17,2,1,74,3,12,0,.236,.283,.358,.641,.278,70.0,0.52,,"2,500"
68,김종헌,1998,L,CF,88,108,97,21,28,4,0,1,35,13,6,4,8,0,0,23,1,1,2,.289,.336,.361,.697,.315,95.2,0.50,,"4,000"
69,김민호,1998,O,SS,112,410,371,36,84,16,4,1,111,19,22,9,21,5,0,70,4,11,2,.226,.276,.299,.575,.258,53.5,0.47,,"7,200"
70,조경택,1998,한,C,61,90,82,5,22,4,0,1,29,4,0,1,7,0,0,18,1,1,0,.268,.326,.354,.680,.309,91.1,0.47,,"3,100"
71,염경엽,1998,현,2B,103,100,83,27,22,4,1,0,28,8,13,6,10,1,0,12,0,6,0,.265,.351,.337,.688,.302,86.1,0.46,,"3,500"
72,김광림,1998,현,RF,102,266,216,26,55,8,2,3,76,21,4,3,29,2,2,37,4,16,1,.255,.347,.352,.699,.299,83.7,0.45,,"8,550"
73,장재중,1998,쌍,C,97,270,241,20,57,9,2,1,73,17,4,1,14,2,1,34,8,8,5,.237,.279,.303,.582,.257,54.0,0.45,,"2,000"
74,장용대,1998,현,,33,33,29,6,10,1,0,2,17,8,0,0,2,1,0,11,0,0,1,.345,.394,.586,.980,.424,171.4,0.44,,"2,300"
75,강영수,1998,쌍,LF,76,161,137,12,31,10,0,2,47,17,0,0,23,0,0,35,2,1,0,.226,.338,.343,.681,.315,94.9,0.44,,"3,800"
76,김종국,1998,해,SS,42,139,125,15,29,2,1,2,39,11,8,2,7,4,0,21,5,2,1,.232,.292,.312,.604,.276,67.8,0.43,,"4,500"
77,권준헌,1998,현,3B,25,55,50,8,13,2,1,2,23,10,1,0,4,0,0,11,1,1,0,.260,.315,.460,.775,.336,109.9,0.40,,"4,500"
78,최해식,1998,해,C,114,355,313,25,69,9,0,4,90,31,1,3,25,3,0,54,8,11,3,.220,.282,.288,.570,.257,55.0,0.37,,"5,400"
79,김상호,1998,O,LF,34,105,87,12,21,3,0,1,27,7,0,0,13,4,1,17,2,1,0,.241,.365,.310,.676,.317,96.3,0.31,,"9,800"
80,이계성,1998,삼,,15,22,20,1,7,3,0,1,13,5,0,0,1,0,0,3,0,0,1,.350,.364,.650,1.014,.427,171.3,0.29,,"2,000"
82,이재주,1998,현,C,39,48,36,2,7,0,0,2,13,5,0,1,9,1,1,15,0,1,1,.194,.362,.361,.723,.320,98.8,0.28,,"2,600"
83,백인호,1998,해,LF,70,151,133,9,37,6,0,3,52,12,2,0,6,2,1,21,3,10,0,.278,.319,.391,.710,.298,83.4,0.27,,"4,400"
85,장광호,1998,현,C,65,62,58,15,15,5,0,2,26,10,1,1,0,0,0,11,0,3,1,.259,.254,.448,.703,.289,76.9,0.25,,"4,500"
86,정회열,1998,삼,C,39,70,61,2,16,2,0,0,18,8,0,0,5,1,0,13,2,1,2,.262,.319,.295,.614,.282,72.8,0.23,,"4,000"
87,임수민,1998,한,2B,49,77,67,8,14,2,0,3,25,5,0,0,6,2,0,15,2,1,1,.209,.290,.373,.663,.295,81.4,0.22,,"2,800"
88,배정훈,1998,롯,C,22,40,37,1,10,3,0,0,13,3,1,0,2,0,0,9,1,1,0,.270,.308,.351,.659,.294,80.3,0.19,,"2,300"
89,이순철,1998,삼,CF,72,187,160,21,34,9,1,2,51,21,3,3,18,1,1,40,4,5,3,.213,.291,.319,.610,.271,64.9,0.16,,"4,000"
90,김재걸,1998,삼,SS,72,111,100,8,25,2,0,0,27,5,9,5,5,3,0,25,2,3,0,.250,.306,.270,.576,.266,61.8,0.16,,"3,800"
91,손지환,1998,L,SS,48,70,60,13,14,1,1,0,17,4,0,0,3,4,0,12,0,3,0,.233,.313,.283,.597,.272,63.7,0.15,,"2,200"
92,홍원기,1998,한,3B,28,76,63,6,14,2,0,2,22,9,1,0,5,2,0,12,1,4,2,.222,.292,.349,.641,.275,67.7,0.12,,"3,600"
94,조유신,1998,롯,3B,26,43,39,4,8,2,1,1,15,4,1,0,3,0,0,12,1,1,0,.205,.262,.385,.647,.280,71.1,0.11,,"2,200"
95,박재용,1998,해,RF,81,231,209,19,46,10,0,6,74,31,0,0,15,4,0,20,7,2,1,.220,.284,.354,.638,.287,75.9,0.11,,"5,300"
96,조효상,1998,한,,46,32,30,6,8,2,0,0,10,1,0,0,1,1,0,12,0,0,0,.267,.313,.333,.646,.299,84.0,0.10,,"1,900"
97,이영주,1998,롯,,13,21,18,3,4,1,0,1,8,2,0,0,2,0,0,4,0,0,1,.222,.286,.444,.730,.314,94.2,0.09,,"1,800"
98,전형도,1998,O,2B,46,19,16,14,3,0,0,0,3,0,8,2,3,0,0,7,0,0,0,.188,.316,.188,.503,.257,52.5,0.08,,"2,800"
99,김재덕,1998,해,,10,14,13,1,4,1,0,0,5,1,0,0,1,0,0,2,1,0,0,.308,.357,.385,.742,.340,112.5,0.08,,"2,200"
103,류중일,1998,삼,SS,64,158,140,14,28,8,0,0,36,13,4,0,13,1,0,38,1,3,1,.200,.271,.257,.528,.245,47.3,0.07,,"7,500"
105,권오성,1998,해,C,28,50,43,1,8,2,0,1,13,3,0,0,4,1,0,8,2,2,0,.186,.271,.302,.573,.256,54.1,0.05,,"2,500"
106,임창용,1998,해,P,2,3,3,0,1,1,0,0,2,2,0,0,0,0,0,1,0,0,0,.333,.333,.667,1.000,.430,174.8,0.04,,"5,900"
107,정호진,1998,롯,C,10,14,12,1,3,1,0,0,4,0,0,0,1,0,0,2,0,1,0,.250,.308,.333,.641,.274,67.0,0.04,,"2,000"
108,김지영,1998,해,C,15,37,35,3,9,1,0,0,10,4,0,0,1,0,0,8,1,1,0,.257,.278,.286,.564,.254,52.6,0.04,,"2,400"
109,이근엽,1998,쌍,2B,53,129,111,8,25,3,0,1,31,8,2,2,11,2,0,21,1,5,0,.225,.307,.279,.586,.267,61.5,0.03,,"3,200"
111,나광호,1998,롯,,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,.462,196.4,0.03,,"1,200"
112,김승관,1998,삼,1B,6,10,8,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,.250,.400,.250,.650,.325,102.1,0.03,,"2,100"
113,지승준,1998,해,,44,46,43,5,11,0,0,0,11,4,1,0,3,0,0,5,2,0,0,.256,.304,.256,.560,.267,61.6,0.03,,"1,400"
115,손차훈,1998,현,3B,49,47,41,11,12,0,1,0,14,3,0,2,1,1,0,5,2,4,0,.293,.326,.341,.667,.281,71.2,0.01,,"2,900"
116,김인호,1998,현,2B,41,85,74,13,17,2,0,1,22,8,2,2,5,2,0,16,1,3,1,.230,.293,.297,.590,.265,59.9,0.01,,"5,400"
117,송재익,1998,삼,,3,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,1.000,,,.703,,0.01,,"2,200"
118,하춘동,1998,삼,,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.500,.000,.500,.351,,0.01,,"2,000"
119,구한성,1998,쌍,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,200"
,진필중,1998,O,P,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,,0.01,,"6,000"
122,김성현,1998,쌍,C,54,151,136,11,29,1,0,1,33,8,1,0,11,1,1,31,2,3,0,.213,.277,.243,.520,.240,42.3,0.01,,"5,800"
123,김정민,1998,L,C,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,.733,,0.01,,"3,300"
124,심광호,1998,한,C,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"1,800"
,장성국,1998,삼,C,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"2,000"
,이상호,1998,쌍,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.01,,"1,200"
,전승남,1998,L,P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"3,300"
,신윤호,1998,L,P,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"1,500"
131,허문회,1998,L,,69,149,138,12,34,5,0,2,45,16,0,2,7,1,0,16,9,3,0,.246,.288,.326,.614,.276,66.7,-0.00,,"3,500"
134,이준용,1998,L,1B,25,36,31,5,7,0,0,0,7,1,1,0,4,1,0,8,2,0,0,.226,.333,.226,.559,.278,68.1,-0.02,,"2,200"
135,최희창,1998,해,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-122.7,-0.02,,"2,000"
136,정수성,1998,현,,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.5,-0.02,,"1,500"
137,강인권,1998,한,C,24,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,.286,.000,.286,.201,17.1,-0.02,,"2,200"
138,최승우,1998,삼,,8,6,6,3,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,.167,.167,.333,.500,.215,27.2,-0.02,,"2,000"
139,김기범,1998,L,P,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-132.8,-0.02,,"6,100"
140,김정규,1998,O,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.02,,"2,100"
141,박철우,1998,쌍,1B,59,138,118,9,28,2,0,1,33,14,0,0,15,3,1,26,1,1,1,.237,.336,.280,.615,.290,77.5,-0.03,,"4,500"
142,박경호,1998,쌍,,32,34,29,1,6,0,0,0,6,1,6,1,3,0,0,9,0,2,0,.207,.281,.207,.488,.225,31.6,-0.03,,"1,800"
144,고기성,1998,한,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,-0.04,,"2,100"
145,박규대,1998,삼,,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-119.2,-0.04,,"1,800"
146,황윤성,1998,현,1B,6,5,5,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,.200,.200,.200,.400,.185,3.3,-0.05,,"1,500"
147,강신창,1998,O,,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.05,,"1,650"
148,박현영,1998,쌍,C,46,135,122,7,26,2,0,1,31,10,2,0,8,1,1,22,7,3,1,.213,.265,.254,.519,.235,38.8,-0.05,,"4,200"
149,황성관,1998,삼,,14,17,16,2,3,1,0,0,4,2,0,0,1,0,0,4,0,0,0,.188,.235,.250,.485,.226,34.5,-0.05,,"2,400"
151,최만호,1998,현,CF,38,96,88,10,17,6,0,3,32,6,0,1,3,2,0,18,3,3,0,.193,.237,.364,.600,.259,55.4,-0.06,,"2,200"
153,강대호,1998,롯,,12,16,15,1,3,0,0,0,3,1,0,0,0,1,0,6,0,0,0,.200,.250,.200,.450,.219,28.7,-0.06,,"2,000"
154,정기창,1998,한,,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-120.1,-0.06,,"2,200"
155,조규철,1998,롯,,33,26,25,7,5,3,0,0,8,2,1,0,0,0,0,10,0,1,0,.200,.200,.320,.520,.220,29.5,-0.07,,"2,600"
156,박준태,1998,L,,29,15,12,7,3,0,0,0,3,1,1,0,0,0,0,2,1,3,0,.250,.250,.250,.500,.185,0.6,-0.08,,"4,100"
157,정원배,1998,쌍,C,10,8,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,.125,.125,.125,.250,.115,-45.5,-0.09,,"1,600"
160,강규철,1998,O,,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.09,,"1,800"
162,박재벌,1998,해,,8,12,9,1,1,0,0,0,1,1,1,0,1,0,0,3,1,2,0,.111,.200,.111,.311,.135,-29.0,-0.11,,"3,700"
165,최기문,1998,O,C,18,28,25,1,4,1,0,0,5,0,0,0,2,0,0,1,1,1,0,.160,.222,.200,.422,.195,7.9,-0.12,,"2,900"
166,김광현,1998,삼,C,14,19,18,1,2,1,0,0,3,0,0,0,1,0,0,7,1,0,0,.111,.158,.167,.325,.154,-14.7,-0.13,,"2,200"
167,이봉우,1998,쌍,3B,34,39,36,5,7,1,1,0,10,2,1,2,2,0,0,8,0,0,1,.194,.231,.278,.509,.229,34.5,-0.15,,"2,000"
171,신진수,1998,한,,12,16,14,1,2,0,0,0,2,0,1,0,0,0,0,3,1,2,0,.143,.143,.143,.286,.115,-41.2,-0.17,,"2,000"
172,허유신,1998,현,,12,13,13,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,.077,.077,.154,.231,.099,-56.7,-0.18,,"2,200"
174,장정석,1998,현,2B,99,253,228,28,52,10,1,1,67,23,4,2,12,1,0,46,1,11,1,.228,.269,.294,.563,.248,47.7,-0.20,,"2,800"
175,이종열,1998,L,2B,126,443,386,38,83,9,3,4,110,29,8,7,32,7,0,60,7,17,1,.215,.286,.285,.571,.258,53.4,-0.20,,"4,200"
176,조현,1998,해,RF,13,19,18,1,3,0,0,0,3,1,0,0,0,0,0,6,1,1,0,.167,.167,.167,.333,.146,-21.9,-0.21,,"3,200"
177,양용모,1998,삼,LF,70,167,143,9,32,5,2,1,44,16,6,7,15,2,1,32,5,5,2,.224,.303,.308,.610,.272,66.1,-0.22,,"4,500"
179,안재만,1998,L,3B,35,53,45,4,6,2,0,0,8,3,0,0,7,0,0,19,1,1,0,.133,.250,.178,.428,.211,19.8,-0.24,,"2,400"
180,박진만,1998,현,SS,123,375,330,36,67,17,0,4,96,33,8,3,18,6,0,50,4,15,6,.203,.253,.291,.544,.239,41.6,-0.25,,"3,600"
182,김태형,1998,O,C,69,165,143,8,29,5,0,0,34,7,1,1,8,4,0,16,2,8,2,.203,.261,.238,.499,.225,29.7,-0.29,,"5,100"
184,정경훈,1998,한,SS,78,81,72,19,10,2,0,1,15,3,13,3,4,0,0,14,1,5,0,.139,.184,.208,.393,.172,-2.8,-0.34,,"3,300"
186,허준,1998,한,SS,78,51,46,3,7,1,0,0,8,4,0,1,2,0,0,4,1,3,0,.152,.188,.174,.361,.161,-9.8,-0.41,,"3,200"
187,추성건,1998,O,3B,88,49,47,4,7,0,1,0,9,0,0,1,2,0,0,15,2,0,0,.149,.184,.191,.375,.175,-6.9,-0.41,,"2,500"
188,장원진,1998,O,1B,98,279,249,18,56,9,2,2,75,20,3,3,17,9,1,45,7,4,0,.225,.298,.301,.599,.275,65.9,-0.43,,"5,000"
189,이경복,1998,해,,40,65,58,6,8,1,0,1,12,5,0,1,6,0,1,5,3,0,1,.138,.215,.207,.422,.194,11.1,-0.43,,"3,300"
190,손동일,1998,롯,,26,29,26,4,2,0,0,0,2,1,1,1,2,0,1,12,0,1,0,.077,.143,.077,.220,.091,-59.6,-0.43,,"2,200"
191,김형석,1998,삼,1B,20,28,27,2,2,0,0,0,2,0,0,0,1,0,0,5,0,0,0,.074,.107,.074,.181,.091,-57.3,-0.45,,"6,000"
192,김영일,1998,롯,LF,30,88,78,12,13,5,0,0,18,8,2,1,5,2,0,13,1,3,0,.167,.235,.231,.466,.214,25.2,-0.46,,"2,400"
193,이지환,1998,롯,1B,41,104,96,8,19,1,0,2,26,7,0,0,5,2,1,22,3,0,1,.198,.250,.271,.521,.237,41.3,-0.47,,"2,200"
195,김형성,1998,해,,63,100,87,5,15,3,0,0,18,3,0,0,7,1,0,22,0,4,1,.172,.240,.207,.447,.206,19.7,-0.49,,"1,800"
196,이종민,1998,O,2B,69,183,165,12,37,4,1,2,49,14,2,3,5,1,0,24,6,11,1,.224,.250,.297,.547,.234,36.0,-0.53,,"3,800"
197,이종운,1998,한,,42,93,89,8,14,2,1,1,21,6,2,0,2,0,0,18,1,2,0,.157,.176,.236,.412,.182,4.0,-0.56,,"4,500"
199,김영진,1998,삼,C,100,204,178,8,32,10,0,0,42,8,0,3,13,1,0,47,4,12,0,.180,.240,.236,.476,.211,24.5,-0.60,,"4,000"
200,최동수,1998,L,1B,21,60,57,6,9,1,0,0,10,5,0,1,2,0,0,12,2,1,0,.158,.186,.175,.362,.168,-11.4,-0.68,,"3,000"
201,강성우,1998,롯,C,73,149,133,9,21,2,2,0,27,5,0,1,5,2,0,23,2,8,1,.158,.199,.203,.402,.178,0.4,-0.77,,"4,500"
202,김태룡,1998,해,3B,121,308,278,23,53,11,0,1,67,10,4,0,15,4,0,58,10,10,1,.191,.242,.241,.483,.219,29.0,-0.94,,"3,400"
1,이승엽,1999,삼,1B,132,614,486,128,157,33,2,54,356,123,10,2,112,12,6,114,7,0,4,.323,.458,.733,1.190,.486,191.8,8.91,,"11,000"
2,이병규,1999,L,CF,131,599,550,117,192,43,8,30,341,99,31,3,34,9,6,65,11,2,4,.349,.394,.620,1.014,.426,155.2,8.07,,"6,000"
3,마해영,1999,롯,1B,132,579,503,111,187,38,4,35,338,119,6,9,59,10,5,65,11,0,7,.372,.442,.672,1.114,.468,180.7,7.18,,"7,600"
5,홍현우,1999,해,2B,129,561,487,99,146,26,0,34,274,111,31,6,64,3,1,104,10,3,4,.300,.382,.563,.944,.401,136.3,5.91,,"10,000"
7,심정수,1999,두,RF,132,544,480,79,161,35,1,31,291,110,1,4,53,8,4,77,17,0,3,.335,.408,.606,1.014,.431,158.7,5.64,,"7,000"
8,장성호,1999,해,LF,129,559,485,110,166,32,1,24,272,62,5,3,61,8,2,71,9,0,5,.342,.420,.561,.981,.425,152.0,5.63,,"5,000"
9,정수근,1999,두,CF,129,589,505,100,164,28,8,2,214,55,57,13,70,4,1,56,12,5,5,.325,.408,.424,.831,.376,121.0,5.55,,"7,600"
10,김한수,1999,삼,3B,128,551,497,87,169,36,1,18,261,88,7,6,33,13,4,73,12,1,7,.340,.391,.525,.916,.397,133.6,5.09,,"7,000"
11,김동주,1999,두,3B,114,455,399,62,128,25,3,22,225,84,2,1,41,10,1,53,9,1,4,.321,.394,.564,.958,.410,144.7,4.94,,"4,000"
13,양준혁,1999,해,DH,131,588,496,96,160,23,1,32,281,105,21,12,82,5,7,68,14,1,4,.323,.421,.567,.987,.422,150.2,4.71,,"14,000"
14,이동수,1999,쌍,3B,86,357,291,56,93,19,2,19,173,68,2,0,46,14,3,69,9,2,4,.320,.431,.595,1.026,.434,159.6,4.56,,"4,500"
